cfile,BestSansPip,OracleEP,TimeWithIPNaive,Diff,EPConfiguration,Index
sendmail-8.18.1+libsm_rewind.c,17678.0,12594.0,4823.0,5084.0,EP_Solver=Naive,223.0
ghostscript-10.04.0+leptonica_src_zlibmemstub.c,17729.4,15073.0,5165.2,2656.4000000000015,EP_Solver=Naive,224.0
507.cactuBSSN+Cactus_main_ProcessEnvironment.c,17916.42,6892.0,5758.62,11024.419999999998,EP_Solver=Naive,226.0
ghostscript-10.04.0+base_gxchrout.c,18097.4,7034.0,5333.6,11063.400000000001,EP_Solver=Naive,229.0
526.blender+blender_source_blender_nodes_composite_nodes_node_composite_pixelate.c,18120.9,10308.6,3727.9,7812.300000000001,EP_Solver=Naive,230.0
sendmail-8.18.1+libsmutil_snprintf.c,18169.2,15034.0,6884.8,3135.2000000000007,EP_Solver=Naive,231.0
gdb-15.2+gnulib_import_pipe-safer.c,18202.6,11421.0,5630.8,6781.5999999999985,EP_Solver=Naive,232.0
507.cactuBSSN+Cactus_main_InitialiseDataStructures.c,18223.68,5970.4,7790.28,12253.28,EP_Solver=Naive,233.0
557.xz+xz_hardware.c,18263.72,5185.4,6002.08,13078.320000000002,EP_Solver=Naive,234.0
502.gcc+cppdefault.c,18387.6,12651.4,4162.66,5736.199999999999,EP_Solver=Naive,235.0
ghostscript-10.04.0+extract_src_rect.c,18500.6,15329.0,9369.2,3171.5999999999985,EP_Solver=Naive,237.0
507.cactuBSSN+Cactus_main_FortranWrappers.c,18529.68,17018.0,6979.12,1511.6800000000003,EP_Solver=Naive,238.0
526.blender+spec_glx.c,18569.56,16722.6,9165.5,1846.9600000000028,EP_Solver=Naive,239.0
538.imagick+magick_log.c,18587.2,14165.2,5470.64,4422.0,EP_Solver=Naive,240.0
