cfile,BestSansPip,OracleEP,Diff,EPConfiguration,Index
sendmail-8.18.1+libsm_xtrap.c,7914.04,7038.12,875.9200000000001,EP_Solver=Naive,153.0
emacs-29.4+lib_timespec-add.c,8098.24,2614.72,5483.52,EP_Solver=Naive,154.0
526.blender+blender_source_blender_imbuf_intern_module.c,8137.34,2642.6,5494.74,EP_Solver=Naive,155.0
557.xz+liblzma_common_easy_preset.c,8183.94,5489.32,2694.62,EP_Solver=Naive,156.0
507.cactuBSSN+CactusBindings_Parameters_SymBase_Parameters.c,8210.36,3702.9,4507.460000000001,EP_Solver=Naive,157.0
507.cactuBSSN+CactusBindings_Parameters_Fortran_Parameters.c,8587.12,4023.68,4563.4400000000005,EP_Solver=Naive,158.0
502.gcc+lbasename.c,8705.62,4133.9,4571.720000000001,EP_Solver=Naive,159.0
emacs-29.4+lib_timespec-sub.c,8866.54,2563.0,6303.540000000001,EP_Solver=Naive,160.0
526.blender+blender_source_blender_nodes_composite_nodes_node_composite_rgb.c,9151.0,8701.36,449.6399999999994,EP_Solver=Naive,161.0
526.blender+blender_source_blender_nodes_composite_nodes_node_composite_value.c,9224.28,8767.76,456.52000000000044,EP_Solver=Naive,162.0
502.gcc+xstrerror.c,9361.66,6560.28,2801.38,EP_Solver=Naive,163.0
507.cactuBSSN+CactusBindings_Schedule_ScheduleFortran.c,9361.94,4252.44,5109.500000000001,EP_Solver=Naive,164.0
gdb-15.2+libiberty_xstrerror.c,9449.58,6394.3,3055.2799999999997,EP_Solver=Naive,165.0
gdb-15.2+gnulib_import_strnlen1.c,9766.96,5992.98,3773.9799999999996,EP_Solver=Naive,166.0
502.gcc+crc32.c,9830.0,4327.6,5502.4,EP_Solver=Naive,167.0
507.cactuBSSN+CactusBindings_Parameters_ADMMacros_Parameters.c,9861.32,4402.44,5458.88,EP_Solver=Naive,168.0
526.blender+blender_source_blender_nodes_shader_nodes_node_shader_uvAlongStroke.c,9911.38,9584.84,326.53999999999905,EP_Solver=Naive,169.0
gdb-15.2+libiberty_xasprintf.c,9942.8,9821.48,121.31999999999971,EP_Solver=Naive,170.0
507.cactuBSSN+CactusBindings_Schedule_SchedulePUGHInterp.c,9982.94,5056.92,4926.02,EP_Solver=Naive,171.0
507.cactuBSSN+Cactus_main_CallStartupFunctions.c,10000.26,6090.32,3909.9400000000005,EP_Solver=Naive,173.0
sendmail-8.18.1+libsmutil_lockfile.c,10098.8,6874.34,3224.459999999999,EP_Solver=Naive,176.0
507.cactuBSSN+CactusBindings_Schedule_SchedulePUGHReduce.c,10132.66,4811.76,5320.9,EP_Solver=Naive,178.0
gdb-15.2+libdecnumber_bid_host-ieee64.c,10148.06,7497.24,2650.8199999999997,EP_Solver=Naive,179.0
526.blender+blender_source_blender_modifiers_intern_MOD_none.c,10151.52,4389.16,5762.360000000001,EP_Solver=Naive,180.0
gdb-15.2+libdecnumber_bid_host-ieee32.c,10200.28,7352.02,2848.26,EP_Solver=Naive,181.0
507.cactuBSSN+Cactus_main_Subsystems.c,10208.12,3334.46,6873.660000000001,EP_Solver=Naive,182.0
526.blender+zlib_gzclose.c,10262.54,6405.08,3857.460000000001,EP_Solver=Naive,183.0
gdb-15.2+libiberty_crc32.c,10267.24,4337.24,5930.0,EP_Solver=Naive,184.0
gdb-15.2+zlib_gzclose.c,10277.08,6476.6,3800.4799999999996,EP_Solver=Naive,185.0
526.blender+blender_source_blender_editors_armature_meshlaplacian.c,10311.68,7604.9,2706.7800000000007,EP_Solver=Naive,186.0
ghostscript-10.04.0+psi_zfmd5.c,10341.86,9648.78,693.0799999999999,EP_Solver=Naive,187.0
502.gcc+host-ieee32.c,10351.82,7239.46,3112.3599999999997,EP_Solver=Naive,188.0
507.cactuBSSN+CactusBindings_Schedule_ScheduleLocalReduce.c,10369.4,4822.72,5546.679999999999,EP_Solver=Naive,189.0
ghostscript-10.04.0+psi_zfsha2.c,10401.64,9554.34,847.2999999999993,EP_Solver=Naive,190.0
502.gcc+xmemdup.c,10455.0,7338.88,3116.12,EP_Solver=Naive,191.0
502.gcc+host-ieee64.c,10546.64,7190.04,3356.5999999999995,EP_Solver=Naive,193.0
526.blender+blender_source_blender_nodes_composite_nodes_node_composite_mapUV.c,10594.2,10330.24,263.96000000000095,EP_Solver=Naive,195.0
502.gcc+host-ieee128.c,10616.78,7582.28,3034.500000000001,EP_Solver=Naive,196.0
526.blender+blender_source_blender_blenlib_intern_math_base.c,10618.06,3537.3,7080.759999999999,EP_Solver=Naive,197.0
526.blender+blender_source_blender_nodes_composite_nodes_node_composite_setalpha.c,10642.8,10572.08,70.71999999999935,EP_Solver=Naive,198.0
526.blender+blender_source_blender_nodes_composite_nodes_node_composite_composite.c,10744.34,9229.78,1514.5599999999995,EP_Solver=Naive,200.0
507.cactuBSSN+Cactus_main_InitialiseDataStructures.c,10805.08,6713.32,4091.76,EP_Solver=Naive,201.0
gdb-15.2+libiberty_xstrdup.c,10812.8,9396.8,1416.0,EP_Solver=Naive,202.0
gdb-15.2+libdecnumber_bid_host-ieee128.c,10813.42,7874.24,2939.1800000000003,EP_Solver=Naive,203.0
gdb-15.2+libiberty_xmemdup.c,11130.78,9979.92,1150.8600000000006,EP_Solver=Naive,207.0
526.blender+blender_source_blender_nodes_composite_nodes_node_composite_texture.c,11131.98,10563.74,568.2399999999998,EP_Solver=Naive,208.0
emacs-29.4+lib_qcopy-acl.c,11162.34,8585.32,2577.0200000000004,EP_Solver=Naive,209.0
gdb-15.2+sim_common_sim-signal.c,11184.26,8437.28,2746.9799999999996,EP_Solver=Naive,210.0
ghostscript-10.04.0+base_gxchrout.c,11187.4,6856.76,4330.639999999999,EP_Solver=Naive,211.0
emacs-29.4+lib_close-stream.c,11195.8,8724.4,2471.3999999999996,EP_Solver=Naive,212.0
ghostscript-10.04.0+freetype_src_sdf_ftsdfcommon.c,11206.66,4476.28,6730.38,EP_Solver=Naive,213.0
sendmail-8.18.1+libsm_rewind.c,11277.16,11091.08,186.07999999999993,EP_Solver=Naive,214.0
sendmail-8.18.1+libsm_config.c,11299.18,7241.9,4057.2800000000007,EP_Solver=Naive,215.0
500.perlbench+reentr.c,11424.64,9390.26,2034.3799999999992,EP_Solver=Naive,217.0
526.blender+blender_source_blender_nodes_composite_nodes_node_composite_brightness.c,11434.08,10664.82,769.2600000000002,EP_Solver=Naive,218.0
gdb-15.2+libiberty_lrealpath.c,11541.68,9326.42,2215.26,EP_Solver=Naive,220.0
526.blender+blender_source_blender_nodes_composite_nodes_node_composite_switch.c,11558.26,11413.04,145.21999999999935,EP_Solver=Naive,221.0
502.gcc+xstrndup.c,11678.92,10494.02,1184.8999999999996,EP_Solver=Naive,223.0
526.blender+blender_source_blender_nodes_composite_nodes_node_composite_displace.c,11826.36,10897.2,929.1599999999999,EP_Solver=Naive,224.0
gdb-15.2+libiberty_xstrndup.c,11871.02,10310.5,1560.5200000000004,EP_Solver=Naive,225.0
507.cactuBSSN+Cactus_main_ProcessEnvironment.c,11939.86,8064.24,3875.620000000001,EP_Solver=Naive,228.0
526.blender+blender_source_blender_nodes_composite_nodes_node_composite_transform.c,11960.42,10888.22,1072.2000000000007,EP_Solver=Naive,229.0
gdb-15.2+gnulib_import_stripslash.c,12104.44,9267.68,2836.76,EP_Solver=Naive,233.0
526.blender+blender_source_blender_nodes_composite_nodes_node_composite_zcombine.c,12312.9,10961.84,1351.0599999999995,EP_Solver=Naive,236.0
507.cactuBSSN+Cactus_main_Traverse.c,12323.56,8812.8,3510.76,EP_Solver=Naive,237.0
ghostscript-10.04.0+pdf_pdf_font9.c,12415.38,10810.94,1604.4399999999987,EP_Solver=Naive,238.0
526.blender+blender_source_blender_nodes_shader_nodes_node_shader_particle_info.c,12463.82,8736.42,3727.3999999999996,EP_Solver=Naive,239.0
526.blender+blender_source_blender_nodes_composite_nodes_node_composite_mapRange.c,12495.74,10749.7,1746.039999999999,EP_Solver=Naive,240.0
gdb-15.2+libiberty_xvasprintf.c,12566.08,11298.06,1268.0200000000004,EP_Solver=Naive,241.0
526.blender+blender_source_blender_nodes_shader_nodes_node_shader_output_lamp.c,12603.44,12518.16,85.28000000000065,EP_Solver=Naive,242.0
526.blender+blender_source_blender_nodes_composite_nodes_node_composite_cornerpin.c,12837.9,10989.7,1848.199999999999,EP_Solver=Naive,244.0
ghostscript-10.04.0+base_gdevmx.c,13034.46,5500.22,7534.239999999999,EP_Solver=Naive,248.0
ghostscript-10.04.0+freetype_src_psaux_psread.c,13108.56,13072.2,36.35999999999876,EP_Solver=Naive,249.0
502.gcc+xstrdup.c,13200.72,9216.28,3984.4399999999987,EP_Solver=Naive,251.0
526.blender+blender_source_blender_nodes_shader_nodes_node_shader_output_linestyle.c,13215.14,10556.86,2658.279999999999,EP_Solver=Naive,253.0
526.blender+blender_source_blender_nodes_shader_nodes_node_shader_output_world.c,13256.54,12760.6,495.9400000000005,EP_Solver=Naive,254.0
526.blender+blender_source_blender_nodes_shader_nodes_node_shader_hair_info.c,13273.82,12213.0,1060.8199999999997,EP_Solver=Naive,255.0
sendmail-8.18.1+libsmutil_cf.c,13381.94,10422.52,2959.42,EP_Solver=Naive,256.0
507.cactuBSSN+CactusBindings_Parameters_ML_BSSN_Helper_Parameters.c,13414.7,7374.96,6039.740000000001,EP_Solver=Naive,257.0
ghostscript-10.04.0+base_ttcalc.c,13638.44,6621.32,7017.120000000001,EP_Solver=Naive,260.0
507.cactuBSSN+CactusBindings_Schedule_ScheduleADMMacros.c,13870.52,7588.56,6281.96,EP_Solver=Naive,262.0
ghostscript-10.04.0+extract_src_odt_template.c,14245.36,12298.08,1947.2800000000007,EP_Solver=Naive,268.0
gdb-15.2+gnulib_import_mbrtowc.c,14546.96,10564.86,3982.0999999999985,EP_Solver=Naive,269.0
507.cactuBSSN+Boundary_NoneBoundary.c,14585.4,10109.5,4475.9,EP_Solver=Naive,270.0
emacs-29.4+src_terminfo.c,14631.78,10737.76,3894.0200000000004,EP_Solver=Naive,271.0
ghostscript-10.04.0+freetype_src_gzip_ftgzip.c,14684.98,8890.8,5794.18,EP_Solver=Naive,273.0
507.cactuBSSN+Cactus_util_Network.c,14819.96,14105.88,714.0799999999999,EP_Solver=Naive,276.0
gdb-15.2+gnulib_import_pipe-safer.c,14936.02,11891.38,3044.6400000000012,EP_Solver=Naive,277.0
557.xz+xz_hardware.c,15327.68,7611.52,7716.16,EP_Solver=Naive,287.0
sendmail-8.18.1+libsmutil_snprintf.c,15517.8,14880.58,637.2199999999993,EP_Solver=Naive,291.0
ghostscript-10.04.0+base_gp_stdib.c,15623.18,11301.04,4322.139999999999,EP_Solver=Naive,294.0
505.mcf+pflowup.c,15701.18,7369.14,8332.04,EP_Solver=Naive,295.0
557.xz+liblzma_lzma_lzma_encoder_presets.c,15703.4,8125.9,7577.5,EP_Solver=Naive,296.0
507.cactuBSSN+Cactus_main_FortranWrappers.c,15971.52,15849.54,121.97999999999956,EP_Solver=Naive,303.0
544.nab+regex-alpha_regfree.c,16004.96,11318.3,4686.66,EP_Solver=Naive,304.0
557.xz+liblzma_common_easy_buffer_encoder.c,16310.52,13704.72,2605.800000000001,EP_Solver=Naive,308.0
sendmail-8.18.1+libsm_lowercase.c,16404.8,11423.06,4981.74,EP_Solver=Naive,311.0
